name,rate,vcpu,memory,storage,network
t4g.nano,0.0048,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,0.0095,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,0.0191,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,0.0382,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,0.0763,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,0.1526,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,0.3053,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,0.0059,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,0.0119,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,0.0238,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,0.0475,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,0.0950,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,0.1901,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,0.3802,8,32 GiB,EBS Only,Up to 5 Gigabit
m7g.medium,0.0434,1,4 GiB,EBS Only,Up to 12500 Megabit
m7g.large,0.0867,2,8 GiB,EBS Only,Up to 12500 Megabit
m7g.xlarge,0.1734,4,16 GiB,EBS Only,Up to 12500 Megabit
m7g.2xlarge,0.3468,8,32 GiB,EBS Only,Up to 15 Gigabit
m7g.4xlarge,0.6936,16,64 GiB,EBS Only,Up to 15 Gigabit
m7g.8xlarge,1.3872,32,128 GiB,EBS Only,15 Gigabit
m7g.12xlarge,2.0808,48,192 GiB,EBS Only,22500 Megabit
m7g.16xlarge,2.7744,64,256 GiB,EBS Only,30 Gigabit
m7g.metal,2.7744,64,256 GiB,EBS Only,30 Gigabit
m7gd.medium,0.0566,1,4 GiB,1 x 59 NVMe SSD,Up to 12500 Megabit
m7gd.large,0.1133,2,8 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit
m7gd.xlarge,0.2265,4,16 GiB,1 x 237 NVMe SSD,Up to 12500 Megabit
m7gd.2xlarge,0.4530,8,32 GiB,1 x 475 NVMe SSD,Up to 15 Gigabit
m7gd.4xlarge,0.9061,16,64 GiB,1 x 950 NVMe SSD,Up to 15 Gigabit
m7gd.8xlarge,1.8122,32,128 GiB,1 x 1900 NVMe SSD,15 Gigabit
m7gd.12xlarge,2.7182,48,192 GiB,2 x 1425 NVMe SSD,22500 Megabit
m7gd.16xlarge,3.6243,64,256 GiB,2 x 1900 NVMe SSD,30 Gigabit
m7gd.metal,3.6243,64,256 GiB,2 x 1900 NVMe SSD,30 Gigabit
m7i.large,0.1071,2,8 GiB,EBS Only,Up to 12500 Megabit
m7i.xlarge,0.2142,4,16 GiB,EBS Only,Up to 12500 Megabit
m7i.2xlarge,0.4284,8,32 GiB,EBS Only,Up to 12500 Megabit
m7i.4xlarge,0.8568,16,64 GiB,EBS Only,Up to 12500 Megabit
m7i.8xlarge,1.7136,32,128 GiB,EBS Only,12500 Megabit
m7i.12xlarge,2.5704,48,192 GiB,EBS Only,18750 Megabit
m7i.16xlarge,3.4272,64,256 GiB,EBS Only,25000 Megabit
m7i.24xlarge,5.1408,96,384 GiB,EBS Only,37500 Megabit
m7i.48xlarge,10.2816,192,768 GiB,EBS Only,50000 Megabit
m7i.metal-24xl,5.1408,96,384 GiB,EBS Only,37500 Megabit
m7i.metal-48xl,10.2816,192,768 GiB,EBS Only,50000 Megabit
m6g.medium,0.0408,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,0.0816,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,0.1632,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,0.3264,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,0.6528,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,1.3056,32,128 GiB,EBS Only,12 Gigabit
m6g.12xlarge,1.9584,48,192 GiB,EBS Only,20 Gigabit
m6g.16xlarge,2.6112,64,256 GiB,EBS Only,25 Gigabit
m6g.metal,2.6112,64,256 GiB,EBS Only,25 Gigabit
m6gd.medium,0.0480,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
m6gd.large,0.0960,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
m6gd.xlarge,0.1921,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
m6gd.2xlarge,0.3842,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
m6gd.4xlarge,0.7683,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
m6gd.8xlarge,1.5366,32,128 GiB,1 x 1900 NVMe SSD,12 Gigabit
m6gd.12xlarge,2.3050,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit
m6gd.16xlarge,3.0733,64,256 GiB,2 x 1900 NVMe SSD,
m6gd.metal,3.0733,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6i.large,0.1020,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,0.2040,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,0.4080,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,0.8160,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,1.6320,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,2.4480,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,3.2640,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,4.8960,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,6.5280,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,6.5280,128,512 GiB,EBS Only,50000 Megabit
m6id.large,0.1258,2,8 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit
